Key (Name+Size);San Pham;Size (Kg);Don Gia (VND)
Keo Trám Trét 1K (Wood Filler) - Trắng/Gỗ1;Keo Trám Trét 1K (Wood Filler) - Trắng/Gỗ;1;100440
Keo Trám Trét 1K (Wood Filler) - Trắng/Gỗ5;Keo Trám Trét 1K (Wood Filler) - Trắng/Gỗ;5;498960
Keo Trám Trét 1K (Wood Filler) - Trắng/Gỗ20;Keo Trám Trét 1K (Wood Filler) - Trắng/Gỗ;20;2376000
Matic Trong Suốt 1K (Matic Clear)1;Matic Trong Suốt 1K (Matic Clear);1;130680
Matic Trong Suốt 1K (Matic Clear)5;Matic Trong Suốt 1K (Matic Clear);5;594000
Matic Trong Suốt 1K (Matic Clear)20;Matic Trong Suốt 1K (Matic Clear);20;2019600
Matic Trắng 1K (Wood Matic White)1;Matic Trắng 1K (Wood Matic White);1;130680
Matic Trắng 1K (Wood Matic White)5;Matic Trắng 1K (Wood Matic White);5;594000
Matic Trắng 1K (Wood Matic White)20;Matic Trắng 1K (Wood Matic White);20;2019600
Lót Trong Suốt 1K (Sanding Sealer)1;Lót Trong Suốt 1K (Sanding Sealer);1;159840
Lót Trong Suốt 1K (Sanding Sealer)5;Lót Trong Suốt 1K (Sanding Sealer);5;712800
Lót Trong Suốt 1K (Sanding Sealer)20;Lót Trong Suốt 1K (Sanding Sealer);20;2700000
Lót Chống Xì Dầu 1K (Anti Tannin)1;Lót Chống Xì Dầu 1K (Anti Tannin);1;178200
Lót Chống Xì Dầu 1K (Anti Tannin)5;Lót Chống Xì Dầu 1K (Anti Tannin);5;819720
Lót Chống Xì Dầu 1K (Anti Tannin)20;Lót Chống Xì Dầu 1K (Anti Tannin);20;3160080
Lót Trắng 1K (White Wood Primer)1;Lót Trắng 1K (White Wood Primer);1;159840
Lót Trắng 1K (White Wood Primer)5;Lót Trắng 1K (White Wood Primer);5;712800
Lót Trắng 1K (White Wood Primer)20;Lót Trắng 1K (White Wood Primer);20;2692440
Sơn Lau Gỗ 1K (Wood Stain)1;Sơn Lau Gỗ 1K (Wood Stain);1;205200
Sơn Lau Gỗ 1K (Wood Stain)5;Sơn Lau Gỗ 1K (Wood Stain);5;950400
Sơn Lau Gỗ 1K (Wood Stain)20;Sơn Lau Gỗ 1K (Wood Stain);20;3641760
Màu Bệt Trong Nhà 1K (Wood Paint Interior)1;Màu Bệt Trong Nhà 1K (Wood Paint Interior);1;253800
Màu Bệt Trong Nhà 1K (Wood Paint Interior)5;Màu Bệt Trong Nhà 1K (Wood Paint Interior);5;1215000
Màu Bệt Trong Nhà 1K (Wood Paint Interior)20;Màu Bệt Trong Nhà 1K (Wood Paint Interior);20;4644000
Sơn 2in1 Trong Nhà 1K (Finish Interior)1;Sơn 2in1 Trong Nhà 1K (Finish Interior);1;248400
Sơn 2in1 Trong Nhà 1K (Finish Interior)5;Sơn 2in1 Trong Nhà 1K (Finish Interior);5;1188000
Sơn 2in1 Trong Nhà 1K (Finish Interior)20;Sơn 2in1 Trong Nhà 1K (Finish Interior);20;4536000
Phủ Bóng Lacquer Trong Nhà 1K1;Phủ Bóng Lacquer Trong Nhà 1K;1;205200
Phủ Bóng Lacquer Trong Nhà 1K5;Phủ Bóng Lacquer Trong Nhà 1K;5;972000
Phủ Bóng Lacquer Trong Nhà 1K20;Phủ Bóng Lacquer Trong Nhà 1K;20;3672000
Phủ Bóng PUD Trong Nhà 1K1;Phủ Bóng PUD Trong Nhà 1K;1;280800
Phủ Bóng PUD Trong Nhà 1K5;Phủ Bóng PUD Trong Nhà 1K;5;1215000
Phủ Bóng PUD Trong Nhà 1K20;Phủ Bóng PUD Trong Nhà 1K;20;5184000
Màu Bệt Ngoài Trời 1K (Wood Paint Exterior)1;Màu Bệt Ngoài Trời 1K (Wood Paint Exterior);1;318600
Màu Bệt Ngoài Trời 1K (Wood Paint Exterior)5;Màu Bệt Ngoài Trời 1K (Wood Paint Exterior);5;1539000
Màu Bệt Ngoài Trời 1K (Wood Paint Exterior)20;Màu Bệt Ngoài Trời 1K (Wood Paint Exterior);20;5940000
Sơn 2in1 Ngoài Trời 1K (Finish Exterior)1;Sơn 2in1 Ngoài Trời 1K (Finish Exterior);1;313200
Sơn 2in1 Ngoài Trời 1K (Finish Exterior)5;Sơn 2in1 Ngoài Trời 1K (Finish Exterior);5;1512000
Sơn 2in1 Ngoài Trời 1K (Finish Exterior)20;Sơn 2in1 Ngoài Trời 1K (Finish Exterior);20;5832000
Phủ Bóng Lacquer Ngoài Trời 1K1;Phủ Bóng Lacquer Ngoài Trời 1K;1;237600
Phủ Bóng Lacquer Ngoài Trời 1K5;Phủ Bóng Lacquer Ngoài Trời 1K;5;1069200
Phủ Bóng Lacquer Ngoài Trời 1K20;Phủ Bóng Lacquer Ngoài Trời 1K;20;4039200
Phủ Bóng PUD Ngoài Trời 1K (Lotus PUD)1;Phủ Bóng PUD Ngoài Trời 1K (Lotus PUD);1;302400
Phủ Bóng PUD Ngoài Trời 1K (Lotus PUD)5;Phủ Bóng PUD Ngoài Trời 1K (Lotus PUD);5;1458000
Phủ Bóng PUD Ngoài Trời 1K (Lotus PUD)20;Phủ Bóng PUD Ngoài Trời 1K (Lotus PUD);20;5616000
Lót Trong Suốt 2K (2K71 Nội Thất)1;Lót Trong Suốt 2K (2K71 Nội Thất);1;151200
Lót Trong Suốt 2K (2K71 Nội Thất)5;Lót Trong Suốt 2K (2K71 Nội Thất);5;702000
Lót Trong Suốt 2K (2K71 Nội Thất)20;Lót Trong Suốt 2K (2K71 Nội Thất);20;2764800
Lót Trong Suốt 2K (2K71 Ngoại Thất)1;Lót Trong Suốt 2K (2K71 Ngoại Thất);1;181200
Lót Trong Suốt 2K (2K71 Ngoại Thất)5;Lót Trong Suốt 2K (2K71 Ngoại Thất);5;852000
Lót Trong Suốt 2K (2K71 Ngoại Thất)20;Lót Trong Suốt 2K (2K71 Ngoại Thất);20;3364800
Lót Trắng 2K (MX83 Nội Thất)1;Lót Trắng 2K (MX83 Nội Thất);1;183600
Lót Trắng 2K (MX83 Nội Thất)5;Lót Trắng 2K (MX83 Nội Thất);5;891000
Lót Trắng 2K (MX83 Nội Thất)20;Lót Trắng 2K (MX83 Nội Thất);20;3456000
Phủ Bóng Lacquer 2K (2K71 Nội Thất)1;Phủ Bóng Lacquer 2K (2K71 Nội Thất);1;172800
Phủ Bóng Lacquer 2K (2K71 Nội Thất)5;Phủ Bóng Lacquer 2K (2K71 Nội Thất);5;810000
Phủ Bóng Lacquer 2K (2K71 Nội Thất)20;Phủ Bóng Lacquer 2K (2K71 Nội Thất);20;3024000
Phủ Bóng Lacquer 2K (2K33 Nội Thất)1;Phủ Bóng Lacquer 2K (2K33 Nội Thất);1;205200
Phủ Bóng Lacquer 2K (2K33 Nội Thất)5;Phủ Bóng Lacquer 2K (2K33 Nội Thất);5;1004400
Phủ Bóng Lacquer 2K (2K33 Nội Thất)20;Phủ Bóng Lacquer 2K (2K33 Nội Thất);20;3693600
Sơn Ngoại Thất & Sàn 2K (2K72)1;Sơn Ngoại Thất & Sàn 2K (2K72);1;199800
Sơn Ngoại Thất & Sàn 2K (2K72)5;Sơn Ngoại Thất & Sàn 2K (2K72);5;939600
Sơn Ngoại Thất & Sàn 2K (2K72)20;Sơn Ngoại Thất & Sàn 2K (2K72);20;3564000
Lót Kim Loại Chống Gỉ (Metal Primer)1;Lót Kim Loại Chống Gỉ (Metal Primer);1;217080
Lót Kim Loại Chống Gỉ (Metal Primer)5;Lót Kim Loại Chống Gỉ (Metal Primer);5;986040
Lót Kim Loại Chống Gỉ (Metal Primer)20;Lót Kim Loại Chống Gỉ (Metal Primer);20;3723840
Phủ Màu Kim Loại (Metal Coat Finish)1;Phủ Màu Kim Loại (Metal Coat Finish);1;237600
Phủ Màu Kim Loại (Metal Coat Finish)5;Phủ Màu Kim Loại (Metal Coat Finish);5;1092960
Phủ Màu Kim Loại (Metal Coat Finish)20;Phủ Màu Kim Loại (Metal Coat Finish);20;4196880
Sơn Kim Loại 2 in 1 (DTM Metal Coat)1;Sơn Kim Loại 2 in 1 (DTM Metal Coat);1;254880
Sơn Kim Loại 2 in 1 (DTM Metal Coat)5;Sơn Kim Loại 2 in 1 (DTM Metal Coat);5;1188000
Sơn Kim Loại 2 in 1 (DTM Metal Coat)20;Sơn Kim Loại 2 in 1 (DTM Metal Coat);20;4639680
Chất Đóng Rắn (Hardener)1;Chất Đóng Rắn (Hardener);1;799200
Chất Đóng Rắn (Hardener)0.5;Chất Đóng Rắn (Hardener);0.5;421200
